req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error
req_31,343,140,0.014181137084960938,0.014183282852172852,2.9778289794921875,2.9636456966400146,2.9636478424072266,0.44568967819213867,2.1457672119140625e-06,True,
req_92,646,142,0.03268289566040039,0.032684326171875,3.0011844635009766,2.9685001373291016,2.968501567840576,0.6176352500915527,1.430511474609375e-06,True,
req_86,630,143,0.03110647201538086,0.031109333038330078,3.0166285037994385,2.9855191707611084,2.9855220317840576,0.6196026802062988,2.86102294921875e-06,True,
req_59,423,144,0.02341437339782715,0.02341604232788086,3.0534090995788574,3.0299930572509766,3.0299947261810303,0.6273572444915771,1.6689300537109375e-06,True,
req_45,595,143,0.019058942794799805,0.019060611724853516,3.0928401947021484,3.073779582977295,3.0737812519073486,0.51607346534729,1.6689300537109375e-06,True,
req_43,722,144,0.018441438674926758,0.01844334602355957,3.1089608669281006,3.090517520904541,3.090519428253174,0.5162088871002197,1.9073486328125e-06,True,
req_91,621,147,0.032366275787353516,0.03236794471740723,3.167354106903076,3.134986162185669,3.1349878311157227,0.6112446784973145,1.6689300537109375e-06,True,
req_5,336,148,0.0028235912322998047,0.0028259754180908203,3.1772067546844482,3.1743807792663574,3.1743831634521484,0.2792634963989258,2.384185791015625e-06,True,
req_77,294,151,0.028636455535888672,0.02863788604736328,3.2471439838409424,3.218506097793579,3.2185075283050537,0.6208820343017578,1.430511474609375e-06,True,
req_6,286,153,0.0034401416778564453,0.0034432411193847656,3.2783687114715576,3.274925470352173,3.274928569793701,0.27869176864624023,3.0994415283203125e-06,True,
req_20,569,153,0.009120941162109375,0.00912332534790039,3.2815310955047607,3.2724077701568604,3.2724101543426514,0.30930519104003906,2.384185791015625e-06,True,
req_35,670,153,0.015615701675415039,0.015617847442626953,3.2820045948028564,3.2663867473602295,3.2663888931274414,0.5196526050567627,2.1457672119140625e-06,True,
req_14,349,154,0.0068089962005615234,0.006811380386352539,3.2889084815979004,3.282097101211548,3.282099485397339,0.5285012722015381,2.384185791015625e-06,True,
req_105,384,86,0.03549957275390625,0.03550076484680176,3.303516149520874,3.2680153846740723,3.2680165767669678,1.5394175052642822,1.1920928955078125e-06,True,
req_65,534,158,0.02511429786682129,0.0251162052154541,3.3674509525299072,3.342334747314453,3.342336654663086,0.6258833408355713,1.9073486328125e-06,True,
req_109,295,84,0.036675453186035156,0.03667640686035156,3.3830208778381348,3.346344470977783,3.3463454246520996,1.6695141792297363,9.5367431640625e-07,True,
req_37,306,157,0.016252994537353516,0.016255617141723633,3.407418966293335,3.3911633491516113,3.3911659717559814,0.5188360214233398,2.6226043701171875e-06,True,
req_3,563,158,0.001974821090698242,0.0019774436950683594,3.43359112739563,3.4316136837005615,3.4316163063049316,0.3164956569671631,2.6226043701171875e-06,True,
